,index,height $\mu m$,linear regression,Yi,absolute height,square height
150,150,-6.4,-7.636795784301911,1.2367957843019104,1.2367957843019104,1.5296638120669777
151,151,-6.4,-7.63737926343181,1.2373792634318095,1.2373792634318095,1.5311074415710473
152,152,-6.4,-7.637962742561709,1.2379627425617086,1.2379627425617086,1.532551751970907
153,153,-6.4,-7.638546221691608,1.2385462216916077,1.2385462216916077,1.5339967432665569
154,154,-7.04,-7.639129700821507,0.5991297008215071,0.5991297008215071,0.3589563984064686
155,155,-7.04,-7.639713179951406,0.5997131799514062,0.5997131799514062,0.35965589820742766
156,156,-7.04,-7.640296659081305,0.6002966590813053,0.6002966590813053,0.3603560789041768
157,157,-7.04,-7.640880138211204,0.6008801382112043,0.6008801382112043,0.36105694049671605
158,158,-7.04,-7.6414636173411035,0.6014636173411034,0.6014636173411034,0.3617584829850453
159,159,-7.04,-7.642047096471003,0.6020470964710034,0.6020470964710034,0.36246070636916566
160,160,-7.36,-7.6426305756009025,0.2826305756009022,0.2826305756009022,0.0798800422644973
161,161,-7.36,-7.643214054730802,0.2832140547308013,0.2832140547308013,0.08021020079706132
162,162,-7.36,-7.643797533860701,0.2837975338607004,0.2837975338607004,0.08054104022541539
163,163,-7.36,-7.6443810129906,0.2843810129905995,0.2843810129905995,0.0808725605495595
164,164,-7.36,-7.644964492120499,0.28496449212049857,0.28496449212049857,0.08120476176949369
165,165,-7.36,-7.645547971250398,0.28554797125039766,0.28554797125039766,0.08153764388521793
166,166,-7.36,-7.646131450380297,0.28613145038029675,0.28613145038029675,0.08187120689673222
167,167,-7.36,-7.646714929510196,0.28671492951019584,0.28671492951019584,0.08220545080403657
168,168,-7.68,-7.647298408640095,-0.03270159135990447,0.03270159135990447,0.0010693940774701787
169,169,-7.68,-7.647881887769994,-0.03211811223000538,0.03211811223000538,0.001031573133219221
170,170,-7.68,-7.648465366899893,-0.03153463310010629,0.03153463310010629,0.0009944330847583194
171,171,-7.68,-7.649048846029793,-0.030951153970206313,0.030951153970206313,0.000957973932087418
172,172,-7.68,-7.6496323251596925,-0.030367674840307224,0.030367674840307224,0.0009221956752066284
173,173,-7.68,-7.650215804289592,-0.029784195710408135,0.029784195710408135,0.0008870983141158943
174,174,-7.68,-7.650799283419491,-0.029200716580509045,0.029200716580509045,0.0008526818488152159
175,175,-7.36,-7.65138276254939,0.29138276254938944,0.29138276254938944,0.08490391431091387
176,176,-7.36,-7.651966241679289,0.29196624167928853,0.29196624167928853,0.08524428628032872
177,177,-7.36,-7.652549720809188,0.2925497208091876,0.2925497208091876,0.08558533914553362
178,178,-7.36,-7.653133199939087,0.2931331999390867,0.2931331999390867,0.08592707290652858
179,179,-7.04,-7.653716679068986,0.6137166790689861,0.6137166790689861,0.3766481621674649
180,180,-7.04,-7.654300158198885,0.6143001581988852,0.6143001581988852,0.37736468436317533
181,181,-6.4,-7.654883637328784,1.254883637328784,1.254883637328784,1.574732943235519
182,182,-6.4,-7.655467116458684,1.255467116458684,1.255467116458684,1.5761976805090827
183,183,-6.08,-7.656050595588583,1.5760505955885833,1.5760505955885833,2.4839354798551283
184,184,-6.08,-7.6566340747184825,1.5766340747184824,1.5766340747184824,2.485775005563405
185,185,-6.08,-7.6572175538483815,1.5772175538483815,1.5772175538483815,2.487615212167472
186,186,-5.76,-7.657801032978281,1.8978010329782808,1.8978010329782808,3.60164876077343
187,187,-5.76,-7.65838451210818,1.89838451210818,1.89838451210818,3.6038637558122124
188,188,-5.76,-7.658967991238079,1.898967991238079,1.898967991238079,3.606079431746785
189,189,-4.8,-7.659551470367978,2.859551470367978,2.859551470367978,8.177034611683665
190,190,-4.8,-7.660134949497877,2.860134949497877,2.860134949497877,8.180371929339225
191,191,-4.48,-7.660718428627776,3.1807184286277757,3.1807184286277757,10.116969722212346
192,192,-4.48,-7.661301907757675,3.1813019077576747,3.1813019077576747,10.12068182830262
193,193,-4.48,-7.661885386887574,3.181885386887574,3.181885386887574,10.124394615288685
194,194,-4.16,-7.662468866017474,3.502468866017474,3.502468866017474,12.267288157421731
195,195,-4.16,-7.663052345147373,3.503052345147373,3.503052345147373,12.271375732842511
196,196,-4.16,-7.663635824277272,3.5036358242772723,3.5036358242772723,12.27546398915908
197,197,-3.52,-7.6642193034071715,4.144219303407171,4.144219303407171,17.174553634732618
198,198,-3.52,-7.664802782537071,4.14480278253707,4.14480278253707,17.179390106127038
199,199,-3.52,-7.66538626166697,4.145386261666969,4.145386261666969,17.184227258417252
200,200,-3.2,-7.665969740796869,4.465969740796869,4.465969740796869,19.94488572571325
201,201,-3.2,-7.666553219926768,4.466553219926768,4.466553219926768,19.950097666438175
202,202,-3.2,-7.667136699056667,4.467136699056667,4.467136699056667,19.955310288058893
203,203,-2.88,-7.667720178186566,4.787720178186566,4.787720178186566,22.922264504614805
204,204,-2.88,-7.668303657316465,4.788303657316465,4.788303657316465,22.92785191467024
205,205,-2.88,-7.668887136446364,4.788887136446364,4.788887136446364,22.93344000562146
206,206,-2.88,-7.669470615576264,4.789470615576264,4.789470615576264,22.93902877746848
207,207,-2.88,-7.670054094706163,4.790054094706163,4.790054094706163,22.944618230211283
208,208,-2.88,-7.670637573836062,4.7906375738360625,4.7906375738360625,22.950208363849875
209,209,-2.24,-7.6712210529659615,5.431221052965961,5.431221052965961,29.498162126180684
210,210,-2.24,-7.6718045320958606,5.43180453209586,5.43180453209586,29.504500474897128
211,211,-2.24,-7.67238801122576,5.432388011225759,5.432388011225759,29.510839504509363
212,212,-2.24,-7.672971490355659,5.4329714903556585,5.4329714903556585,29.517179215017386
213,213,-2.24,-7.673554969485558,5.433554969485558,5.433554969485558,29.5235196064212
214,214,-2.24,-7.674138448615457,5.434138448615457,5.434138448615457,29.5298606787208
215,215,-2.24,-7.674721927745356,5.434721927745356,5.434721927745356,29.536202431916195
216,216,-1.6,-7.675305406875255,6.075305406875255,6.075305406875255,36.909335786807716
217,217,-1.6,-7.675888886005155,6.0758888860051545,6.0758888860051545,36.91642575508096
218,218,-1.6,-7.676472365135054,6.076472365135054,6.076472365135054,36.923516404249995
219,219,-1.6,-7.677055844264953,6.077055844264953,6.077055844264953,36.93060773431482
220,220,-1.6,-7.677639323394852,6.077639323394852,6.077639323394852,36.93769974527543
221,221,-1.6,-7.678222802524751,6.078222802524751,6.078222802524751,36.94479243713184
222,222,-1.6,-7.6788062816546505,6.07880628165465,6.07880628165465,36.95188580988403
223,223,-1.28,-7.67938976078455,6.399389760784549,6.399389760784549,40.95218931043413
224,224,-1.28,-7.679973239914449,6.399973239914448,6.399973239914448,40.95965747162104
225,225,-1.28,-7.680556719044348,6.4005567190443475,6.4005567190443475,40.967126313703744
226,226,-1.28,-7.681140198174247,6.401140198174247,6.401140198174247,40.974595836682234
227,227,-1.28,-7.681723677304146,6.401723677304146,6.401723677304146,40.98206604055651
228,228,-1.28,-7.682307156434045,6.402307156434045,6.402307156434045,40.98953692532658
229,229,-1.28,-7.682890635563945,6.402890635563945,6.402890635563945,40.99700849099246
230,230,-1.28,-7.683474114693844,6.403474114693844,6.403474114693844,41.004480737554104
231,231,-1.28,-7.684057593823743,6.404057593823743,6.404057593823743,41.011953665011546
232,232,-1.28,-7.684641072953642,6.404641072953642,6.404641072953642,41.01942727336478
233,233,-1.28,-7.685224552083541,6.405224552083541,6.405224552083541,41.0269015626138
234,234,-1.28,-7.6858080312134405,6.40580803121344,6.40580803121344,41.034376532758614
235,235,-1.28,-7.68639151034334,6.406391510343339,6.406391510343339,41.041852183799215
