,index,height $\mu m$,linear regression,Yi,absolute height,square height
0,0,-0.32,-0.4695015428914262,0.1495015428914262,0.1495015428914262,0.022350711326916947
1,1,-0.32,-0.467782236813054,0.14778223681305397,0.14778223681305397,0.021839589517469563
2,2,-0.32,-0.4660629307346817,0.14606293073468168,0.14606293073468168,0.02133437973480442
3,3,-0.32,-0.46434362465630946,0.14434362465630945,0.14434362465630945,0.020835081978921546
4,4,-0.32,-0.46262431857793723,0.14262431857793723,0.14262431857793723,0.02034169624982093
5,5,-0.32,-0.460905012499565,0.140905012499565,0.140905012499565,0.01985422254750257
6,6,-0.32,-0.4591857064211927,0.1391857064211927,0.1391857064211927,0.019372660871966447
7,7,-0.96,-0.4574664003428205,-0.5025335996571795,0.5025335996571795,0.25254001878440235
8,8,-0.32,-0.45574709426444826,0.13574709426444825,0.13574709426444825,0.018427273601241
9,9,-0.96,-0.454027788186076,-0.505972211813924,0.505972211813924,0.2560078791278744
10,10,-0.96,-0.45230848210770375,-0.5076915178922963,0.5076915178922963,0.2577506773397838
11,11,-0.96,-0.4505891760293315,-0.5094108239706685,0.5094108239706685,0.2594993875784754
12,12,-0.32,-0.4488698699509593,0.12886986995095928,0.12886986995095928,0.01660744338117716
13,13,-0.96,-0.447150563872587,-0.512849436127413,0.512849436127413,0.26301454413620545
14,14,-0.96,-0.4454312577942148,-0.5145687422057852,0.5145687422057852,0.26478099045524384
15,15,-0.96,-0.44371195171584255,-0.5162880482841574,0.5162880482841574,0.26655334880106446
16,16,-0.96,-0.44199264563747026,-0.5180073543625296,0.5180073543625296,0.2683316191736674
17,17,-0.96,-0.44027333955909803,-0.5197266604409019,0.5197266604409019,0.27011580157305254
18,18,-0.96,-0.4385540334807258,-0.5214459665192741,0.5214459665192741,0.27190589599921994
19,19,-0.96,-0.4368347274023536,-0.5231652725976463,0.5231652725976463,0.2737019024521696
20,20,-0.96,-0.4351154213239813,-0.5248845786760187,0.5248845786760187,0.2755038209319016
21,21,-0.96,-0.43339611524560906,-0.5266038847543909,0.5266038847543909,0.2773116514384158
22,22,-0.96,-0.43167680916723683,-0.5283231908327631,0.5283231908327631,0.27912539397171227
23,23,-0.96,-0.4299575030888646,-0.5300424969111354,0.5300424969111354,0.2809450485317909
24,24,-0.96,-0.4282381970104923,-0.5317618029895077,0.5317618029895077,0.282770615118652
25,25,-0.96,-0.4265188909321201,-0.5334811090678799,0.5334811090678799,0.2846020937322952
26,26,-0.96,-0.42479958485374786,-0.5352004151462522,0.5352004151462522,0.28643948437272065
27,27,-0.32,-0.4230802787753756,0.10308027877537557,0.10308027877537557,0.010625543872409143
28,28,-0.96,-0.42136097269700334,-0.5386390273029966,0.5386390273029966,0.29013200173391834
29,29,-0.96,-0.4196416666186311,-0.5403583333813688,0.5403583333813688,0.29198712845469055
30,30,-0.96,-0.4179223605402589,-0.5420776394597411,0.5420776394597411,0.29384816720224505
31,31,-0.96,-0.4162030544618866,-0.5437969455381133,0.5437969455381133,0.2957151179765818
32,32,-0.96,-0.41448374838351437,-0.5455162516164855,0.5455162516164855,0.29758798077770077
33,33,-0.96,-0.41276444230514214,-0.5472355576948578,0.5472355576948578,0.299466755605602
34,34,-0.96,-0.41104513622676986,-0.5489548637732301,0.5489548637732301,0.3013514424602856
35,35,-0.96,-0.40932583014839763,-0.5506741698516023,0.5506741698516023,0.30324204134175137
36,36,-0.96,-0.4076065240700254,-0.5523934759299746,0.5523934759299746,0.30513855224999936
37,37,-0.96,-0.40588721799165317,-0.5541127820083468,0.5541127820083468,0.30704097518502965
38,38,-0.96,-0.4041679119132809,-0.5558320880867191,0.5558320880867191,0.3089493101468423
39,39,-0.32,-0.40244860583490866,0.08244860583490865,0.08244860583490865,0.006797772604120133
40,40,-0.96,-0.4007292997565364,-0.5592707002434636,0.5592707002434636,0.31278371615081413
41,41,-0.96,-0.39900999367816414,-0.5609900063218358,0.5609900063218358,0.3147097871929734
42,42,-0.32,-0.3972906875997919,0.07729068759979191,0.07729068759979191,0.005973850389648627
43,43,-0.32,-0.3955713815214197,0.07557138152141968,0.07557138152141968,0.005711033705055972
44,44,-0.32,-0.39385207544304746,0.07385207544304745,0.07385207544304745,0.005454129047245572
45,45,-0.32,-0.39213276936467517,0.07213276936467516,0.07213276936467516,0.00520313641621742
46,46,-0.32,-0.39041346328630294,0.07041346328630294,0.07041346328630294,0.004958055811971531
47,47,-0.32,-0.38869415720793066,0.06869415720793065,0.06869415720793065,0.00471888723450789
48,48,-0.32,-0.38697485112955843,0.06697485112955842,0.06697485112955842,0.004485630683826513
49,49,-0.32,-0.3852555450511862,0.06525554505118619,0.06525554505118619,0.004258286159927391
50,50,-0.32,-0.38353623897281397,0.06353623897281396,0.06353623897281396,0.004036853662810524
51,51,-0.32,-0.38181693289444174,0.061816932894441734,0.061816932894441734,0.0038213331924759125
52,52,-0.32,-0.38009762681606946,0.06009762681606945,0.06009762681606945,0.0036117247489235497
53,53,-0.32,-0.3783783207376972,0.05837832073769722,0.05837832073769722,0.0034080283321534493
54,54,-0.32,-0.37665901465932494,0.056659014659324936,0.056659014659324936,0.003210243942165598
55,55,-0.32,-0.3749397085809527,0.054939708580952706,0.054939708580952706,0.0030183715789600086
56,56,-0.32,-0.3732204025025805,0.05322040250258048,0.05322040250258048,0.0028324112425366743
57,57,-0.32,-0.37150109642420825,0.05150109642420825,0.05150109642420825,0.0026523629328955955
58,58,-0.32,-0.369781790345836,0.04978179034583602,0.04978179034583602,0.0024782266500367723
