,index,height $\mu m$,linear regression,Yi,absolute height,square height
0,0,0.0,-3.4752688758248347,3.4752688758248347,3.4752688758248347,12.07749375927681
1,1,0.0,-3.475661784456231,3.475661784456231,3.475661784456231,12.080224839929473
2,2,0.0,-3.4760546930876273,3.4760546930876273,3.4760546930876273,12.082956229336519
3,3,0.0,-3.476447601719024,3.476447601719024,3.476447601719024,12.085687927497952
4,4,0.0,-3.47684051035042,3.47684051035042,3.47684051035042,12.088419934413768
5,5,0.0,-3.4772334189818164,3.4772334189818164,3.4772334189818164,12.091152250083972
6,6,0.0,-3.477626327613213,3.477626327613213,3.477626327613213,12.09388487450856
7,7,0.0,-3.478019236244609,3.478019236244609,3.478019236244609,12.096617807687533
8,8,0.0,-3.4784121448760055,3.4784121448760055,3.4784121448760055,12.099351049620893
9,9,-0.32,-3.478805053507402,3.158805053507402,3.158805053507402,9.978049366063901
10,10,-0.32,-3.479197962138798,3.159197962138798,3.159197962138798,9.980531763981936
11,11,-0.32,-3.4795908707701946,3.1595908707701947,3.1595908707701947,9.983014470654357
12,12,-0.32,-3.4799837794015906,3.159983779401591,3.159983779401591,9.985497486081162
13,13,-0.32,-3.480376688032987,3.1603766880329873,3.1603766880329873,9.987980810262354
14,14,-0.32,-3.4807695966643837,3.160769596664384,3.160769596664384,9.990464443197931
15,15,-0.32,-3.4811625052957798,3.16116250529578,3.16116250529578,9.992948384887892
16,16,-0.32,-3.4815554139271763,3.1615554139271764,3.1615554139271764,9.99543263533224
17,17,-0.32,-3.4819483225585723,3.1619483225585725,3.1619483225585725,9.99791719453097
18,18,-0.96,-3.482341231189969,2.522341231189969,2.522341231189969,6.362205286560928
19,19,-0.96,-3.4827341398213654,2.5227341398213654,2.5227341398213654,6.364187540220245
20,20,-0.96,-3.4831270484527614,2.5231270484527615,2.5231270484527615,6.3661701026339435
21,21,-0.96,-3.483519957084158,2.523519957084158,2.523519957084158,6.36815297380203
22,22,-0.96,-3.4839128657155545,2.5239128657155545,2.5239128657155545,6.370136153724503
23,23,-0.96,-3.4843057743469505,2.5243057743469506,2.5243057743469506,6.3721196424013575
24,24,-1.28,-3.484698682978347,2.2046986829783473,2.2046986829783473,4.860696282726459
25,25,-1.28,-3.485091591609743,2.205091591609743,2.205091591609743,4.862428927387989
26,26,-1.28,-3.4854845002411396,2.2054845002411394,2.2054845002411394,4.864161880803908
27,27,-1.28,-3.485877408872536,2.205877408872536,2.205877408872536,4.865895142974213
28,28,-1.28,-3.4862703175039322,2.2062703175039324,2.2062703175039324,4.8676287138989025
29,29,-1.28,-3.4866632261353288,2.206663226135329,2.206663226135329,4.869362593577978
30,30,-1.28,-3.487056134766725,2.2070561347667246,2.2070561347667246,4.871096782011434
31,31,-1.28,-3.4874490433981213,2.207449043398121,2.207449043398121,4.87283127919928
32,32,-1.28,-3.487841952029518,2.2078419520295176,2.2078419520295176,4.8745660851415105
33,33,-1.6,-3.488234860660914,1.8882348606609138,1.8882348606609138,3.5654308890151407
34,34,-1.6,-3.4886277692923104,1.8886277692923104,1.8886277692923104,3.566914850942048
35,35,-1.6,-3.489020677923707,1.8890206779237069,1.8890206779237069,3.568399121623341
36,36,-1.6,-3.489413586555103,1.889413586555103,1.889413586555103,3.5698837010590174
37,37,-1.6,-3.4898064951864995,1.8898064951864995,1.8898064951864995,3.5713685892490807
38,38,-2.24,-3.4901994038178956,1.2501994038178954,1.2501994038178954,1.5629985493066212
39,39,-2.24,-3.490592312449292,1.250592312449292,1.250592312449292,1.5639811319572674
40,40,-2.24,-3.4909852210806886,1.2509852210806884,1.2509852210806884,1.564964023362299
41,41,-2.24,-3.4913781297120847,1.2513781297120845,1.2513781297120845,1.5659472235217147
42,42,-2.24,-3.4917710383434812,1.251771038343481,1.251771038343481,1.5669307324355166
43,43,-2.24,-3.4921639469748778,1.2521639469748775,1.2521639469748775,1.567914550103704
44,44,-2.56,-3.492556855606274,0.9325568556062738,0.9325568556062738,0.8696622889382606
45,45,-2.56,-3.4929497642376703,0.9329497642376703,0.9329497642376703,0.8703952625911245
46,46,-2.56,-3.4933426728690664,0.9333426728690664,0.9333426728690664,0.871128544998373
47,47,-2.56,-3.493735581500463,0.9337355815004629,0.9337355815004629,0.8718621361600075
48,48,-2.56,-3.4941284901318594,0.9341284901318594,0.9341284901318594,0.8725960360760273
49,49,-2.56,-3.4945213987632555,0.9345213987632555,0.9345213987632555,0.8733302447464315
50,50,-2.56,-3.494914307394652,0.934914307394652,0.934914307394652,0.8740647621712219
51,51,-3.2,-3.495307216026048,0.2953072160260479,0.2953072160260479,0.08720635183705494
52,52,-3.2,-3.4957001246574446,0.29570012465744444,0.29570012465744444,0.08743856372242818
53,53,-3.2,-3.496093033288841,0.29609303328884096,0.29609303328884096,0.08767108436218668
54,54,-3.2,-3.496485941920237,0.29648594192023703,0.29648594192023703,0.08790391375633017
55,55,-3.2,-3.4968788505516337,0.29687885055163354,0.29687885055163354,0.08813705190485917
56,56,-3.2,-3.4972717591830302,0.29727175918303006,0.29727175918303006,0.08837049880777342
57,57,-3.2,-3.4976646678144263,0.29766466781442613,0.29766466781442613,0.08860425446507265
58,58,-3.52,-3.498057576445823,-0.021942423554177193,0.021942423554177193,0.00048146995143091007
59,59,-3.52,-3.498450485077219,-0.02154951492278112,0.02154951492278112,0.0004643815934071662
60,60,-3.52,-3.4988433937086154,-0.021156606291384605,0.021156606291384605,0.0004476019897686547
61,61,-3.52,-3.499236302340012,-0.02076369765998809,0.02076369765998809,0.00043113114051539485
62,62,-3.52,-3.499629210971408,-0.020370789028592018,0.020370789028592018,0.0004149690456474049
63,63,-4.16,-3.5000221196028045,-0.6599778803971956,0.6599778803971956,0.43557080261357506
64,64,-4.16,-3.5004150282342006,-0.6595849717657996,0.6595849717657996,0.4350523349792906
65,65,-4.16,-3.500807936865597,-0.659192063134403,0.659192063134403,0.4345341760993908
66,66,-4.16,-3.5012008454969936,-0.6587991545030065,0.6587991545030065,0.43401632597387624
67,67,-4.16,-3.5015937541283897,-0.6584062458716105,0.6584062458716105,0.43349878460274754
68,68,-4.16,-3.501986662759786,-0.6580133372402139,0.6580133372402139,0.4329815519860035
69,69,-4.16,-3.5023795713911827,-0.6576204286088174,0.6576204286088174,0.4324646281236447
70,70,-4.48,-3.502772480022579,-0.9772275199774216,0.9772275199774216,0.954973625801222
71,71,-4.48,-3.5031653886539753,-0.9768346113460251,0.9768346113460251,0.95420585792354
72,72,-4.48,-3.5035582972853714,-0.976441702714629,0.976441702714629,0.9534383988002441
73,73,-4.48,-3.503951205916768,-0.9760487940832325,0.9760487940832325,0.9526712484313324
74,74,-4.48,-3.5043441145481644,-0.975655885451836,0.975655885451836,0.9519044068168061
75,75,-4.8,-3.5047370231795605,-1.2952629768204393,1.2952629768204393,1.677706179121746
76,76,-4.8,-3.505129931810957,-1.2948700681890428,1.2948700681890428,1.6766884934918964
77,77,-4.8,-3.505522840442353,-1.2944771595576468,1.2944771595576468,1.6756711166164333
78,78,-4.8,-3.5059157490737496,-1.2940842509262502,1.2940842509262502,1.6746540484953543
79,79,-4.8,-3.506308657705146,-1.2936913422948537,1.2936913422948537,1.6736372891286604
80,80,-4.8,-3.506701566336542,-1.2932984336634576,1.2932984336634576,1.672620838516353
81,81,-5.44,-3.5070944749679387,-1.9329055250320617,1.9329055250320617,3.73612376869947
82,82,-5.44,-3.507487383599335,-1.9325126164006652,1.9325126164006652,3.7346050125477444
83,83,-5.44,-3.5078802922307313,-1.9321197077692691,1.9321197077692691,3.7330865651504057
84,84,-5.44,-3.508273200862128,-1.9317267991378726,1.9317267991378726,3.731568426507451
85,85,-5.44,-3.508666109493524,-1.9313338905064765,1.9313338905064765,3.7300505966188826
86,86,-5.44,-3.5090590181249204,-1.93094098187508,1.93094098187508,3.728533075484698
87,87,-6.08,-3.509451926756317,-2.570548073243683,2.570548073243683,6.607717396856812
88,88,-6.08,-3.509844835387713,-2.570155164612287,2.570155164612287,6.605697570183213
89,89,-6.08,-3.5102377440191095,-2.5697622559808906,2.5697622559808906,6.603678052263996
90,90,-6.08,-3.5106306526505056,-2.5693693473494945,2.5693693473494945,6.601658843099168
91,91,-6.08,-3.511023561281902,-2.568976438718098,2.568976438718098,6.599639942688722
92,92,-6.08,-3.5114164699132986,-2.5685835300867015,2.5685835300867015,6.597621351032661
93,93,-6.08,-3.5118093785446947,-2.5681906214553054,2.5681906214553054,6.595603068130988
94,94,-6.4,-3.512202287176091,-2.887797712823909,2.887797712823909,8.339375630191
95,95,-6.4,-3.5125951958074877,-2.8874048041925127,2.8874048041925127,8.337106503274002
96,96,-6.4,-3.5129881044388838,-2.8870118955611166,2.8870118955611166,8.334837685111392
97,97,-6.4,-3.5133810130702803,-2.88661898692972,2.88661898692972,8.332569175703163
98,98,-6.4,-3.5137739217016764,-2.886226078298324,2.886226078298324,8.330300975049322
99,99,-6.4,-3.514166830333073,-2.8858331696669275,2.8858331696669275,8.328033083149865
100,100,-6.4,-3.5145597389644694,-2.885440261035531,2.885440261035531,8.325765500004794
101,101,-7.04,-3.5149526475958655,-3.5250473524041346,3.5250473524041346,12.425958836691398
102,102,-7.04,-3.515345556227262,-3.524654443772738,3.524654443772738,12.42318894800691
103,103,-7.04,-3.515738464858658,-3.524261535141342,3.524261535141342,12.420419368076809
104,104,-7.04,-3.5161313734900546,-3.5238686265099455,3.5238686265099455,12.41765009690109
105,105,-7.04,-3.516524282121451,-3.523475717878549,3.523475717878549,12.414881134479756
106,106,-7.04,-3.516917190752847,-3.523082809247153,3.523082809247153,12.41211248081281
107,107,-7.04,-3.5173100993842437,-3.5226899006157564,3.5226899006157564,12.409344135900248
108,108,-7.04,-3.51770300801564,-3.52229699198436,3.52229699198436,12.40657609974207
109,109,-7.04,-3.5180959166470362,-3.521904083352964,3.521904083352964,12.40380837233828
110,110,-7.36,-3.5184888252784328,-3.8415111747215676,3.8415111747215676,14.757208105510678
111,111,-7.36,-3.518881733909829,-3.8411182660901715,3.8411182660901715,14.754189534091566
112,112,-7.36,-3.5192746425412254,-3.840725357458775,3.840725357458775,14.751171271426834
113,113,-7.36,-3.519667551172622,-3.8403324488273785,3.8403324488273785,14.74815331751649
114,114,-7.36,-3.520060459804018,-3.8399395401959824,3.8399395401959824,14.745135672360533
115,115,-7.36,-3.5204533684354145,-3.839546631564586,3.839546631564586,14.742118335958958
116,116,-7.36,-3.520846277066811,-3.8391537229331893,3.8391537229331893,14.739101308311769
117,117,-7.36,-3.521239185698207,-3.8387608143017933,3.8387608143017933,14.736084589418967
118,118,-7.36,-3.5216320943296036,-3.8383679056703968,3.8383679056703968,14.733068179280547
119,119,-7.36,-3.5220250029609996,-3.8379749970390007,3.8379749970390007,14.730052077896516
120,120,-7.68,-3.522417911592396,-4.157582088407604,4.157582088407604,17.285488821847732
121,121,-7.68,-3.5228108202237927,-4.157189179776207,4.157189179776207,17.28222187644837
122,122,-7.68,-3.5232037288551887,-4.156796271144811,4.156796271144811,17.27895523980341
123,123,-7.68,-3.5235966374865852,-4.156403362513414,4.156403362513414,17.275688911912816
124,124,-7.68,-3.5239895461179813,-4.156010453882018,4.156010453882018,17.27242289277662
125,125,-7.68,-3.524382454749378,-4.155617545250622,4.155617545250622,17.269157182394803
126,126,-7.68,-3.5247753633807744,-4.155224636619225,4.155224636619225,17.265891780767372
127,127,-7.68,-3.5251682720121704,-4.15483172798783,4.15483172798783,17.262626687894336
128,128,-7.68,-3.525561180643567,-4.154438819356432,4.154438819356432,17.259361903775666
129,129,-7.68,-3.5259540892749635,-4.154045910725037,4.154045910725037,17.2560974284114
130,130,-7.68,-3.5263469979063595,-4.15365300209364,4.15365300209364,17.25283326180151
131,131,-7.68,-3.526739906537756,-4.153260093462244,4.153260093462244,17.249569403946005
132,132,-7.68,-3.527132815169152,-4.152867184830848,4.152867184830848,17.24630585484489
133,133,-7.68,-3.5275257238005486,-4.152474276199451,4.152474276199451,17.24304261449815
134,134,-7.68,-3.527918632431945,-4.152081367568055,4.152081367568055,17.23977968290581
135,135,-7.68,-3.528311541063341,-4.1516884589366585,4.1516884589366585,17.236517060067847
136,136,-7.68,-3.5287044496947377,-4.151295550305262,4.151295550305262,17.23325474598427
137,137,-7.68,-3.529097358326134,-4.150902641673866,4.150902641673866,17.22999274065508
138,138,-7.68,-3.5294902669575303,-4.150509733042469,4.150509733042469,17.226731044080267
139,139,-7.68,-3.529883175588927,-4.150116824411073,4.150116824411073,17.22346965625985
140,140,-7.68,-3.530276084220323,-4.149723915779677,4.149723915779677,17.220208577193816
141,141,-7.68,-3.5306689928517194,-4.14933100714828,4.14933100714828,17.21694780688216
142,142,-7.68,-3.531061901483116,-4.148938098516884,4.148938098516884,17.213687345324896
143,143,-7.68,-3.531454810114512,-4.148545189885487,4.148545189885487,17.210427192522012
144,144,-8.0,-3.5318477187459085,-4.468152281254092,4.468152281254092,19.964384808476147
145,145,-8.0,-3.5322406273773046,-4.467759372622695,4.467759372622695,19.96087381165794
146,146,-8.0,-3.532633536008701,-4.467366463991299,4.467366463991299,19.95736312359412
147,147,-8.0,-3.5330264446400976,-4.466973555359902,4.466973555359902,19.95385274428469
148,148,-8.0,-3.5334193532714937,-4.466580646728506,4.466580646728506,19.950342673729637
149,149,-8.0,-3.53381226190289,-4.46618773809711,4.46618773809711,19.946832911928983
150,150,-8.0,-3.5342051705342863,-4.465794829465714,4.465794829465714,19.943323458882702
151,151,-8.0,-3.534598079165683,-4.465401920834317,4.465401920834317,19.93981431459081
152,152,-7.68,-3.5349909877970793,-4.14500901220292,4.14500901220292,17.18109971124343
153,153,-8.0,-3.5353838964284754,-4.464616103571524,4.464616103571524,19.932796952270177
154,154,-7.68,-3.535776805059872,-4.144223194940128,4.144223194940128,17.174585889479765
155,155,-8.0,-3.5361697136912684,-4.463830286308731,4.463830286308731,19.925780824967088
156,156,-8.0,-3.5365626223226645,-4.4634373776773355,4.4634373776773355,19.922273224447128
157,157,-8.0,-3.536955530954061,-4.463044469045939,4.463044469045939,19.91876593268155
158,158,-7.68,-3.537348439585457,-4.142651560414542,4.142651560414542,17.16156195100504
159,159,-7.68,-3.5377413482168536,-4.142258651783147,4.142258651783147,17.15830673827233
160,160,-7.68,-3.53813425684825,-4.141865743151749,4.141865743151749,17.155051834293992
161,161,-7.68,-3.538527165479646,-4.1414728345203535,4.1414728345203535,17.151797239070053
162,162,-7.68,-3.5389200741110427,-4.141079925888957,4.141079925888957,17.14854295260049
163,163,-7.68,-3.5393129827424388,-4.1406870172575605,4.1406870172575605,17.145288974885315
164,164,-7.68,-3.5397058913738353,-4.140294108626165,4.140294108626165,17.14203530592453
165,165,-7.68,-3.540098800005232,-4.1399011999947675,4.1399011999947675,17.138781945718115
166,166,-7.68,-3.540491708636628,-4.139508291363372,4.139508291363372,17.135528894266102
167,167,-7.68,-3.5408846172680244,-4.139115382731975,4.139115382731975,17.132276151568465
168,168,-7.68,-3.541277525899421,-4.138722474100579,4.138722474100579,17.129023717625216
169,169,-7.68,-3.541670434530817,-4.138329565469183,4.138329565469183,17.125771592436358
170,170,-7.68,-3.5420633431622135,-4.137936656837786,4.137936656837786,17.122519776001873
